arm,generation,sampling_seed,cw_count,total,cw_frac
A,0,42,14600,100000,0.146
A,0,123,14225,100000,0.14225
A,0,256,14621,100000,0.14621
A,1,42,14168,100000,0.14168
A,1,123,14055,100000,0.14055
A,1,256,14317,100000,0.14317
A,2,42,14070,100000,0.1407
A,2,123,14476,100000,0.14476
A,2,256,14020,100000,0.1402
A,3,42,15245,100000,0.15245
A,3,123,14315,100000,0.14315
A,3,256,14257,100000,0.14257
A,4,42,15247,100000,0.15247
A,4,123,14494,100000,0.14494
A,4,256,14843,100000,0.14843
A,5,42,15122,100000,0.15122
A,5,123,14852,100000,0.14852
A,5,256,14948,100000,0.14948
A,6,42,15179,100000,0.15179
A,6,123,14550,100000,0.1455
A,6,256,14995,100000,0.14995
A,7,42,15182,100000,0.15182
A,7,123,14609,100000,0.14609
A,7,256,14291,100000,0.14291
A,8,42,15686,100000,0.15686
A,8,123,14600,100000,0.146
A,8,256,14640,100000,0.1464
A,9,42,14584,100000,0.14584
A,9,123,14073,100000,0.14073
A,9,256,14092,100000,0.14092
B,0,42,14600,100000,0.146
B,0,123,14225,100000,0.14225
B,0,256,14621,100000,0.14621
B,1,42,14074,100000,0.14074
B,1,123,13479,100000,0.13479
B,1,256,14048,100000,0.14048
B,2,42,14146,100000,0.14146
B,2,123,13737,100000,0.13737
B,2,256,14039,100000,0.14039
B,3,42,13712,100000,0.13712
B,3,123,13384,100000,0.13384
B,3,256,13834,100000,0.13834
B,4,42,13871,100000,0.13871
B,4,123,13304,100000,0.13304
B,4,256,13876,100000,0.13876
B,5,42,14285,100000,0.14285
B,5,123,13321,100000,0.13321
B,5,256,13917,100000,0.13917
B,6,42,14133,100000,0.14133
B,6,123,13676,100000,0.13676
B,6,256,14192,100000,0.14192
B,7,42,14257,100000,0.14257
B,7,123,13721,100000,0.13721
B,7,256,13918,100000,0.13918
B,8,42,14313,100000,0.14313
B,8,123,13584,100000,0.13584
B,8,256,14087,100000,0.14087
B,9,42,13984,100000,0.13984
B,9,123,13666,100000,0.13666
B,9,256,14155,100000,0.14155
C,0,42,14600,100000,0.146
C,0,123,14225,100000,0.14225
C,0,256,14621,100000,0.14621
C,1,42,16209,100000,0.16209
C,1,123,16224,100000,0.16224
C,1,256,16757,100000,0.16757
C,2,42,16702,100000,0.16702
C,2,123,16799,100000,0.16799
C,2,256,16758,100000,0.16758
C,3,42,17133,100000,0.17133
C,3,123,16778,100000,0.16778
C,3,256,17405,100000,0.17405
C,4,42,16967,100000,0.16967
C,4,123,17325,100000,0.17325
C,4,256,17247,100000,0.17247
C,5,42,17313,100000,0.17313
C,5,123,17439,100000,0.17439
C,5,256,16791,100000,0.16791
C,6,42,17530,100000,0.1753
C,6,123,17681,100000,0.17681
C,6,256,17191,100000,0.17191
C,7,42,17996,100000,0.17996
C,7,123,17868,100000,0.17868
C,7,256,17237,100000,0.17237
C,8,42,18045,100000,0.18045
C,8,123,18200,100000,0.182
C,8,256,17360,100000,0.1736
C,9,42,17917,100000,0.17917
C,9,123,18171,100000,0.18171
C,9,256,17629,100000,0.17629
D,0,42,14600,100000,0.146
D,0,123,14225,100000,0.14225
D,0,256,14621,100000,0.14621
D,1,42,17780,100000,0.1778
D,1,123,17141,100000,0.17141
D,1,256,17480,100000,0.1748
D,2,42,19141,100000,0.19141
D,2,123,18714,100000,0.18714
D,2,256,19387,100000,0.19387
D,3,42,20091,100000,0.20091
D,3,123,19172,100000,0.19172
D,3,256,20025,100000,0.20025
D,4,42,19639,100000,0.19639
D,4,123,19081,100000,0.19081
D,4,256,20416,100000,0.20416
D,5,42,20477,100000,0.20477
D,5,123,19928,100000,0.19928
D,5,256,20554,100000,0.20554
D,6,42,20931,100000,0.20931
D,6,123,20494,100000,0.20494
D,6,256,20788,100000,0.20788
D,7,42,19497,100000,0.19497
D,7,123,20355,100000,0.20355
D,7,256,21033,100000,0.21033
D,8,42,20334,100000,0.20334
D,8,123,20814,100000,0.20814
D,8,256,21510,100000,0.2151
D,9,42,20823,100000,0.20823
D,9,123,19487,100000,0.19487
D,9,256,21658,100000,0.21658
