sampling_seed,arm,gen,class,recall,precision,f1
42,A,0,tree_cover,0.6804,0.6284869757990024,0.6534140017286085
42,A,0,shrubland,0.3167,0.39562773266708307,0.351791169119689
42,A,0,grassland,0.2054,0.37708830548926014,0.2659416067844889
42,A,0,cropland,0.7203,0.6474024806758943,0.6819085487077535
42,A,0,built_up,0.8552,0.7109485410258541,0.7764310681374551
42,A,0,bare_sparse_vegetation,0.4217,0.5260072346264189,0.46811344840983515
42,A,0,permanent_water,0.8304,0.7853967653456918,0.807271666747679
42,A,0,snow_and_ice,0.8702,0.8474048105949946,0.8586511421382407
42,A,0,herbaceous_wetland,0.6927,0.5940313866735272,0.6395826600803288
42,A,0,moss_lichen,0.8773,0.728231094878393,0.795845239715154
42,A,1,tree_cover,0.6675,0.6451145259495505,0.6561163807932373
42,A,1,shrubland,0.3583,0.3989977728285078,0.3775553213909379
42,A,1,grassland,0.2701,0.3842651870820885,0.3172235598097363
42,A,1,cropland,0.7207,0.6667591821630123,0.6926810514681148
42,A,1,built_up,0.8453,0.7330673835747117,0.7851934420138407
42,A,1,bare_sparse_vegetation,0.4361,0.5409327710245596,0.48289225999335617
42,A,1,permanent_water,0.8275,0.8225646123260437,0.825024925224327
42,A,1,snow_and_ice,0.8959,0.883356339972392,0.8895839539271174
42,A,1,herbaceous_wetland,0.6987,0.6179357919872646,0.6558408034918103
42,A,1,moss_lichen,0.8937,0.761697775504986,0.8224359269313947
42,A,2,tree_cover,0.6738,0.64293893129771,0.6580078125
42,A,2,shrubland,0.3871,0.3905367231638418,0.38881076737645637
42,A,2,grassland,0.2639,0.40500306936771024,0.3195689028820538
42,A,2,cropland,0.7185,0.676936122102883,0.6970990588920152
42,A,2,built_up,0.8433,0.7281754598048528,0.7815207821695009
42,A,2,bare_sparse_vegetation,0.4487,0.54513424857247,0.49223849487137294
42,A,2,permanent_water,0.8226,0.8278152359867164,0.8251993780408287
42,A,2,snow_and_ice,0.9148,0.8860906625339016,0.9002164928163748
42,A,2,herbaceous_wetland,0.7009,0.6349882225040768,0.666318091073296
42,A,2,moss_lichen,0.8932,0.7857834081111991,0.8360555997566339
42,A,3,tree_cover,0.6928,0.6329830973047054,0.6615421341608976
42,A,3,shrubland,0.3791,0.398005249343832,0.38832266325224074
42,A,3,grassland,0.2452,0.41496023015738703,0.3082531900182287
42,A,3,cropland,0.7571,0.6491468747320587,0.6989798273553987
42,A,3,built_up,0.8386,0.743835373425581,0.7883801823822507
42,A,3,bare_sparse_vegetation,0.4429,0.5361985472154963,0.48510405257393213
42,A,3,permanent_water,0.8232,0.8200019922303018,0.8215978841259544
42,A,3,snow_and_ice,0.9038,0.8897420752116558,0.8967159440420676
42,A,3,herbaceous_wetland,0.6965,0.6386392811296534,0.6663158901750694
42,A,3,moss_lichen,0.8861,0.7827047080646586,0.8311992870878477
42,A,4,tree_cover,0.6849,0.6360512630014858,0.6595724191063173
42,A,4,shrubland,0.3695,0.3925005311238581,0.38065313691150715
42,A,4,grassland,0.2505,0.4124814753828421,0.311702855720774
42,A,4,cropland,0.7622,0.6194733420026007,0.6834648493543759
42,A,4,built_up,0.8388,0.7379255740300871,0.7851359573173584
42,A,4,bare_sparse_vegetation,0.4391,0.544721498573378,0.4862410719229279
42,A,4,permanent_water,0.8146,0.8137862137862137,0.8141929035482258
42,A,4,snow_and_ice,0.8811,0.8840172569479282,0.8825562177593028
42,A,4,herbaceous_wetland,0.696,0.6167478954364201,0.6539816772374912
42,A,4,moss_lichen,0.8384,0.7798344340061389,0.8080574430147945
42,A,5,tree_cover,0.6556,0.6608870967741935,0.6582329317269076
42,A,5,shrubland,0.3891,0.3980562659846547,0.39352718078381793
42,A,5,grassland,0.2607,0.413284717818643,0.3197203826342899
42,A,5,cropland,0.7695,0.6260169215750081,0.6903821998923381
42,A,5,built_up,0.8582,0.7138579271335884,0.7794024157660521
42,A,5,bare_sparse_vegetation,0.4327,0.560564840005182,0.4884022800383769
42,A,5,permanent_water,0.8149,0.8300061112242819,0.8223836915935008
42,A,5,snow_and_ice,0.8826,0.886144578313253,0.8843687374749498
