sampling_seed,arm,pool,class,support,drift_rate
42,C,2,tree_cover,1000,0.32199999999999995
42,C,2,shrubland,1000,0.6819999999999999
42,C,2,grassland,1000,0.8240000000000001
42,C,2,cropland,1000,0.276
42,C,2,built_up,1000,0.14800000000000002
42,C,2,bare_sparse_vegetation,1000,0.633
42,C,2,permanent_water,1000,0.19799999999999995
42,C,2,snow_and_ice,1000,0.137
42,C,2,herbaceous_wetland,1000,0.33399999999999996
42,C,2,moss_lichen,1000,0.121
42,C,3,tree_cover,1000,0.363
42,C,3,shrubland,1000,0.7070000000000001
42,C,3,grassland,1000,0.821
42,C,3,cropland,1000,0.281
42,C,3,built_up,1000,0.16800000000000004
42,C,3,bare_sparse_vegetation,1000,0.637
42,C,3,permanent_water,1000,0.18200000000000005
42,C,3,snow_and_ice,1000,0.15800000000000003
42,C,3,herbaceous_wetland,1000,0.365
42,C,3,moss_lichen,1000,0.16900000000000004
42,C,4,tree_cover,1000,0.32599999999999996
42,C,4,shrubland,1000,0.6910000000000001
42,C,4,grassland,1000,0.8260000000000001
42,C,4,cropland,1000,0.29300000000000004
42,C,4,built_up,1000,0.16700000000000004
42,C,4,bare_sparse_vegetation,1000,0.5920000000000001
42,C,4,permanent_water,1000,0.17600000000000005
42,C,4,snow_and_ice,1000,0.16900000000000004
42,C,4,herbaceous_wetland,1000,0.372
42,C,4,moss_lichen,1000,0.18700000000000006
42,C,5,tree_cover,1000,0.32999999999999996
42,C,5,shrubland,1000,0.7150000000000001
42,C,5,grassland,1000,0.8280000000000001
42,C,5,cropland,1000,0.30800000000000005
42,C,5,built_up,1000,0.135
42,C,5,bare_sparse_vegetation,1000,0.6
42,C,5,permanent_water,1000,0.18600000000000005
42,C,5,snow_and_ice,1000,0.17400000000000004
42,C,5,herbaceous_wetland,1000,0.353
42,C,5,moss_lichen,1000,0.18200000000000005
42,C,6,tree_cover,1000,0.31599999999999995
42,C,6,shrubland,1000,0.6970000000000001
42,C,6,grassland,1000,0.81
42,C,6,cropland,1000,0.30800000000000005
42,C,6,built_up,1000,0.15400000000000003
42,C,6,bare_sparse_vegetation,1000,0.5509999999999999
42,C,6,permanent_water,1000,0.16800000000000004
42,C,6,snow_and_ice,1000,0.20699999999999996
42,C,6,herbaceous_wetland,1000,0.368
42,C,6,moss_lichen,1000,0.17900000000000005
42,C,7,tree_cover,1000,0.359
42,C,7,shrubland,1000,0.735
42,C,7,grassland,1000,0.827
42,C,7,cropland,1000,0.29200000000000004
42,C,7,built_up,1000,0.138
42,C,7,bare_sparse_vegetation,1000,0.5569999999999999
42,C,7,permanent_water,1000,0.15200000000000002
42,C,7,snow_and_ice,1000,0.22899999999999998
42,C,7,herbaceous_wetland,1000,0.355
42,C,7,moss_lichen,1000,0.18899999999999995
42,C,8,tree_cover,1000,0.32799999999999996
42,C,8,shrubland,1000,0.7010000000000001
42,C,8,grassland,1000,0.836
42,C,8,cropland,1000,0.30400000000000005
42,C,8,built_up,1000,0.132
42,C,8,bare_sparse_vegetation,1000,0.5760000000000001
42,C,8,permanent_water,1000,0.15500000000000003
42,C,8,snow_and_ice,1000,0.247
42,C,8,herbaceous_wetland,1000,0.38
42,C,8,moss_lichen,1000,0.18500000000000005
42,C,9,tree_cover,1000,0.33099999999999996
42,C,9,shrubland,1000,0.712
42,C,9,grassland,1000,0.806
42,C,9,cropland,1000,0.32199999999999995
42,C,9,built_up,1000,0.15800000000000003
42,C,9,bare_sparse_vegetation,1000,0.5549999999999999
42,C,9,permanent_water,1000,0.16500000000000004
42,C,9,snow_and_ice,1000,0.23099999999999998
42,C,9,herbaceous_wetland,1000,0.369
42,C,9,moss_lichen,1000,0.19899999999999995
42,C,10,tree_cover,1000,0.37
42,C,10,shrubland,1000,0.6739999999999999
42,C,10,grassland,1000,0.833
