scale,sampling_seed,arm,gen,train_size,overall_accuracy,macro_f1,ece,temperature,worst_recall
S1,42,A,0,1000,0.5201,0.4973974856137425,0.0250839370757341,1.129826488860222,0.147
S1,42,B,0,1000,0.5201,0.4973974856137425,0.0250839370757341,1.129826488860222,0.147
S1,42,C,0,1000,0.5201,0.4973974856137425,0.0250839370757341,1.129826488860222,0.147
S1,42,D,0,1000,0.5201,0.4973974856137425,0.0250839370757341,1.129826488860222,0.147
S1,42,A,1,1000,0.5217,0.5106185525166034,0.0215384654104709,1.4533501967559954,0.119
S1,42,B,1,2000,0.5354,0.5125634778083806,0.0166255504608154,1.105056457032782,0.102
S1,42,C,1,1000,0.5073,0.4806600937367197,0.0215197494000196,3.493467953646435,0.133
S1,42,D,1,2000,0.5125,0.48630663998846,0.0189855144053697,1.5295257504523116,0.129
S1,42,A,2,1000,0.5192,0.5013371003603959,0.039141182257235,1.2563823869524788,0.099
S1,42,B,2,3000,0.5368,0.511908240713975,0.0209562285736203,1.067044083101507,0.091
S1,42,C,2,1000,0.252,0.1767904908696146,0.0830800374224781,0.2265958944851087,0.0
S1,42,D,2,3000,0.5124,0.4886790296684265,0.0292512042313814,1.8808899152351988,0.152
S1,42,A,3,1000,0.5135,0.4990965383776921,0.0291227231800556,1.1739079862865254,0.153
S1,42,B,3,4000,0.538,0.5127384211471909,0.016958252055943,1.0407187235083526,0.089
S1,42,C,3,1000,0.1697,0.0752117443177864,0.0624821442484855,0.6882511305371676,0.0
S1,42,D,3,4000,0.5098,0.4846815757520187,0.0308903520554304,2.024050651739825,0.142
S1,42,A,4,1000,0.5172,0.5046439677329695,0.0371725969344377,1.1053139845966735,0.16
S1,42,B,4,5000,0.5361,0.5106186622167693,0.0160670119106769,1.0178880667749557,0.094
S1,42,C,4,1000,0.1658,0.0707481113522967,0.0592719711542129,1.1383241889324691,0.0
S1,42,D,4,5000,0.5087,0.4825265350966267,0.031422398135066,2.0964720595998863,0.136
S1,42,A,5,1000,0.51,0.4922858321395461,0.0271101117670535,1.2016002751235957,0.14
S1,42,B,5,6000,0.5491,0.527393393280998,0.0119197376772761,1.0348131699812722,0.117
S1,42,C,5,1000,0.1,0.0181818181818181,0.0055132672190666,1.550991848790541,0.0
S1,42,D,5,6000,0.5086,0.4821133152264401,0.0343975935205817,2.253538161566297,0.134
S1,42,A,6,1000,0.5217,0.5120060761484329,0.0210318535655736,1.188535197884231,0.194
S1,42,B,6,7000,0.5511,0.5255847753997293,0.0178980143398046,1.0016744339860268,0.114
S1,42,C,6,1000,0.1,0.0181818181818181,0.0011459380388259,7.597380551004702,0.0
S1,42,D,6,7000,0.5101,0.4839250932616624,0.0387105504795909,2.5156867733248527,0.133
S1,42,A,7,1000,0.5148,0.5006331320015279,0.0265331315770745,1.2920598240453454,0.13
S1,42,B,7,8000,0.5471,0.5203041830953692,0.016595173497498,0.9825280105150483,0.077
S1,42,C,7,1000,0.1,0.0181818181818181,0.0010288298130035,8.458042556244758,0.0
S1,42,D,7,8000,0.5106,0.4849750114572277,0.0352202508300542,2.691839998698846,0.142
S1,42,A,8,1000,0.5117,0.4894556072244226,0.0245259036689996,1.1051463385631384,0.102
S1,42,B,8,9000,0.5444,0.5188224418227186,0.0155222452461719,0.9750776185891088,0.085
S1,42,C,8,1000,0.1,0.0181818181818181,0.0011360436677932,7.662994322077555,0.0
S1,42,D,8,9000,0.5085,0.4826693814810363,0.0372615055128932,2.7578325990958845,0.136
S1,42,A,9,1000,0.5022,0.4895937721293737,0.0268326482281088,1.0832580827652305,0.171
S1,42,B,9,10000,0.5472,0.5229634169766534,0.0175627583429217,0.9677285314021836,0.102
S1,42,C,9,1000,0.1,0.0181818181818181,0.0011541411280631,7.543836346491568,0.0
S1,42,D,9,10000,0.5081,0.4827797473739054,0.0385127671539783,2.766996166281075,0.139
S1,123,A,0,1000,0.5062,0.4933133851335122,0.0225972869515419,1.106184847221004,0.132
S1,123,B,0,1000,0.5062,0.4933133851335122,0.0225972869515419,1.106184847221004,0.132
S1,123,C,0,1000,0.5062,0.4933133851335122,0.0225972869515419,1.106184847221004,0.132
S1,123,D,0,1000,0.5062,0.4933133851335122,0.0225972869515419,1.106184847221004,0.132
S1,123,A,1,1000,0.5129,0.4978717184474498,0.0197325297817587,1.1119422457733137,0.14
S1,123,B,1,2000,0.5241,0.5023589344517257,0.0164825258657336,0.966059347499224,0.095
